index, time, unrolled, speed, value, x, y
5_1_12,3e-06,1,333333,0,0,1
6_4_36,0.011895,10231,860109,-0.142857,1,5
6_1_14,4e-06,1,250000,0,2,5
5_3_81,0.000188,213,1.13298e+06,-0.2,4,3
6_3_92,0.000358,309,863128,-0.2,4,5
6_1_78,1.2e-05,1,83333.3,0,1,5
6_5_50,0.495691,456407,920749,-0.111111,5,4
6_3_9,0.000209,309,1.47847e+06,-0.2,5,5
6_4_54,0.00847,10231,1.20791e+06,-0.142857,1,5
5_1_58,2e-06,1,500000,0,3,1
3_2_78,6e-06,7,1.16667e+06,-0.333333,2,2
5_3_55,0.000131,213,1.62595e+06,-0.2,4,3
6_2_46,1.1e-05,13,1.18182e+06,-0.333333,4,5
5_2_52,9e-06,11,1.22222e+06,-0.333333,4,2
5_2_96,9e-06,11,1.22222e+06,-0.333333,2,2
5_4_36,0.006267,5567,888304,-0.142857,4,4
5_4_32,0.004333,5567,1.28479e+06,-0.142857,4,4
6_1_16,3e-06,1,333333,0,3,5
6_4_47,0.009893,10231,1.03417e+06,-0.142857,1,5
3_1_92,4e-06,1,250000,0,2,1
5_2_0,1.1e-05,11,1e+06,-0.333333,4,2
4_1_63,3e-06,1,333333,0,2,1
3_2_47,8e-06,7,875000,-0.333333,2,2
3_2_89,8e-06,7,875000,-0.333333,2,2
3_1_86,6e-06,1,166667,0,1,1
5_2_3,2.1e-05,11,523810,-0.333333,2,2
2_1_87,3e-06,1,333333,0,0,1
5_2_13,1.2e-05,11,916667,-0.333333,4,2
4_1_18,3.1e-05,1,32258.1,0,0,1
6_2_27,1.6e-05,13,812500,-0.333333,4,5
5_4_28,0.00548,5567,1.01588e+06,-0.142857,3,4
5_2_49,1.2e-05,11,916667,-0.333333,4,2
6_4_4,0.013506,10231,757515,-0.142857,3,5
2_1_46,3e-06,1,333333,0,0,1
3_1_14,5e-06,1,200000,0,0,1
5_3_88,0.000186,213,1.14516e+06,-0.2,4,3
5_1_74,3e-06,1,333333,0,4,1
3_2_7,1e-05,7,700000,-0.333333,1,2
4_2_99,1e-05,9,900000,-0.333333,1,2
3_2_21,1e-05,7,700000,-0.333333,1,2
4_1_20,4e-06,1,250000,0,0,1
6_4_92,0.012564,10231,814311,-0.142857,3,5
6_5_76,0.497177,456407,917997,-0.111111,1,4
6_3_40,0.000236,309,1.30932e+06,-0.2,0,0
3_2_94,7e-06,7,1e+06,-0.333333,1,2
5_4_35,0.004493,5567,1.23904e+06,-0.142857,0,1
6_3_65,0.000247,309,1.25101e+06,-0.2,0,0
4_3_90,8.9e-05,135,1.51685e+06,-0.2,2,2
6_2_74,1.4e-05,13,928571,-0.333333,3,4
3_1_48,5e-06,1,200000,0,1,0
3_1_74,5e-06,1,200000,0,0,0
6_4_76,0.012453,10231,821569,-0.142857,2,0
5_1_98,3e-06,1,333333,0,4,3
5_4_12,0.005644,5567,986357,-0.142857,0,1
6_1_56,5e-06,1,200000,0,5,5
6_2_98,1.9e-05,13,684211,-0.333333,3,4
4_2_19,1.4e-05,9,642857,-0.333333,2,2
6_4_12,0.012495,10231,818808,-0.142857,1,0
6_2_71,1.6e-05,13,812500,-0.333333,0,4
3_2_93,1e-05,7,700000,-0.333333,2,2
4_3_92,0.000122,135,1.10656e+06,-0.2,3,2
3_1_35,5e-06,1,200000,0,2,0
5_4_93,0.005909,5567,942122,-0.142857,0,1
6_1_31,4e-06,1,250000,0,5,5
6_1_92,3e-06,1,333333,0,3,5
5_1_31,3e-06,1,333333,0,3,3
3_2_31,9e-06,7,777778,-0.333333,2,2
3_2_11,1.4e-05,7,500000,-0.333333,2,2
4_2_51,1e-05,9,900000,-0.333333,3,2
3_1_18,2e-05,1,50000,0,2,0
4_2_47,1e-05,9,900000,-0.333333,3,2
5_4_15,0.005864,5567,949352,-0.142857,0,1
2_1_22,3e-06,1,333333,0,0,0
3_2_74,9e-06,7,777778,-0.333333,2,2
5_4_33,0.005787,5567,961984,-0.142857,1,1
3_2_5,9e-06,7,777778,-0.333333,2,2
4_2_20,1e-05,9,900000,-0.333333,3,2
6_3_31,0.000295,309,1.04746e+06,-0.2,3,0
4_2_69,1e-05,9,900000,-0.333333,1,2
5_3_41,0.000186,213,1.14516e+06,-0.2,4,2
2_1_85,4e-06,1,250000,0,0,0
6_4_52,0.01232,10231,830438,-0.142857,2,0
5_4_64,0.005621,5567,990393,-0.142857,0,1
6_4_41,0.012485,10231,819463,-0.142857,1,0
4_3_81,0.000137,135,985401,-0.2,3,2
4_3_61,0.000105,135,1.28571e+06,-0.2,3,2
4_1_5,3e-06,1,333333,0,3,3
5_1_0,1.3e-05,1,76923.1,0,0,3
