index, time, unrolled, speed, value, x, y
5_1_12,1.1e-05,1,90909.1,0,1,3
6_4_36,0.022192,10231,461022,0.142857,0,2
6_1_14,3e-06,1,333333,0,5,3
5_3_81,0.000188,213,1.13298e+06,0.2,0,1
6_3_92,0.0003,309,1.03e+06,0.2,1,4
6_1_78,3e-06,1,333333,0,4,3
6_5_50,0.480184,456407,950484,0.111111,5,4
6_3_9,0.00022,309,1.40455e+06,0.2,0,4
6_4_54,0.008714,10231,1.17409e+06,0.142857,2,2
5_1_58,2e-06,1,500000,0,2,2
3_2_78,6e-06,7,1.16667e+06,0.333333,0,1
5_3_55,0.000132,213,1.61364e+06,0.2,4,0
6_2_46,1e-05,13,1.3e+06,0.333333,0,1
5_2_52,8e-06,11,1.375e+06,0.333333,0,1
5_2_96,8e-06,11,1.375e+06,0.333333,0,1
5_4_36,0.003923,5567,1.41907e+06,0.142857,2,4
5_4_32,0.003972,5567,1.40156e+06,0.142857,3,4
6_1_16,2e-06,1,500000,0,5,2
6_4_47,0.009247,10231,1.10641e+06,0.142857,4,2
3_1_92,3e-06,1,333333,0,0,2
5_2_0,9e-06,11,1.22222e+06,0.333333,2,1
4_1_63,2e-06,1,500000,0,3,2
3_2_47,7e-06,7,1e+06,0.333333,0,1
3_2_89,6e-06,7,1.16667e+06,0.333333,0,1
3_1_86,3e-06,1,333333,0,0,2
5_2_3,9e-06,11,1.22222e+06,0.333333,3,1
2_1_87,2e-06,1,500000,0,1,0
5_2_13,9e-06,11,1.22222e+06,0.333333,2,1
4_1_18,2e-06,1,500000,0,2,2
6_2_27,1.1e-05,13,1.18182e+06,0.333333,3,1
5_4_28,0.004363,5567,1.27596e+06,0.142857,2,4
5_2_49,9e-06,11,1.22222e+06,0.333333,0,1
6_4_4,0.0097,10231,1.05474e+06,0.142857,2,2
2_1_46,2e-06,1,500000,0,1,0
3_1_14,3e-06,1,333333,0,2,2
5_3_88,0.000145,213,1.46897e+06,0.2,3,0
5_1_74,2e-06,1,500000,0,3,2
3_2_7,7e-06,7,1e+06,0.333333,1,1
4_2_99,7e-06,9,1.28571e+06,0.333333,2,1
3_2_21,7e-06,7,1e+06,0.333333,0,1
4_1_20,3e-06,1,333333,0,1,2
6_4_92,0.010533,10231,971328,0.142857,2,2
6_5_76,0.488467,456407,934366,0.111111,3,1
6_3_40,0.000213,309,1.4507e+06,0.2,1,4
3_2_94,6e-06,7,1.16667e+06,0.333333,1,1
5_4_35,0.003963,5567,1.40474e+06,0.142857,2,4
6_3_65,0.000211,309,1.46445e+06,0.2,0,4
4_3_90,7.5e-05,135,1.8e+06,0.2,3,0
6_2_74,1e-05,13,1.3e+06,0.333333,1,1
3_1_48,3e-06,1,333333,0,0,2
3_1_74,3e-06,1,333333,0,1,2
6_4_76,0.008771,10231,1.16646e+06,0.142857,4,2
5_1_98,2e-06,1,500000,0,0,2
5_4_12,0.004063,5567,1.37017e+06,0.142857,3,4
6_1_56,2e-06,1,500000,0,1,2
6_2_98,1.1e-05,13,1.18182e+06,0.333333,3,1
4_2_19,6e-06,9,1.5e+06,0.333333,0,1
6_4_12,0.009015,10231,1.13489e+06,0.142857,4,2
6_2_71,1.1e-05,13,1.18182e+06,0.333333,0,1
3_2_93,8e-06,7,875000,0.333333,0,1
4_3_92,8.5e-05,135,1.58824e+06,0.2,2,0
3_1_35,4e-06,1,250000,0,0,2
5_4_93,0.004536,5567,1.22729e+06,0.142857,2,4
6_1_31,3e-06,1,333333,0,4,2
6_1_92,2e-06,1,500000,0,1,2
5_1_31,2e-06,1,500000,0,1,2
3_2_31,1.1e-05,7,636364,0.333333,1,1
3_2_11,7e-06,7,1e+06,0.333333,1,1
4_2_51,7e-06,9,1.28571e+06,0.333333,0,1
3_1_18,3e-06,1,333333,0,1,2
4_2_47,7e-06,9,1.28571e+06,0.333333,0,1
5_4_15,0.004461,5567,1.24793e+06,0.142857,2,4
2_1_22,2e-06,1,500000,0,0,0
3_2_74,7e-06,7,1e+06,0.333333,0,1
5_4_33,0.005122,5567,1.08688e+06,0.142857,2,4
3_2_5,7e-06,7,1e+06,0.333333,0,1
4_2_20,7e-06,9,1.28571e+06,0.333333,0,1
6_3_31,0.000242,309,1.27686e+06,0.2,0,4
4_2_69,7e-06,9,1.28571e+06,0.333333,0,1
5_3_41,0.00015,213,1.42e+06,0.2,4,0
2_1_85,2e-06,1,500000,0,0,0
6_4_52,0.009664,10231,1.05867e+06,0.142857,3,2
5_4_64,0.004234,5567,1.31483e+06,0.142857,3,4
6_4_41,0.0093,10231,1.10011e+06,0.142857,3,2
4_3_81,7.8e-05,135,1.73077e+06,0.2,3,0
4_3_61,7.9e-05,135,1.70886e+06,0.2,3,0
4_1_5,2e-06,1,500000,0,2,2
5_1_0,2e-06,1,500000,0,3,2
4_2_36,7e-06,9,1.28571e+06,0.333333,0,1
4_1_85,2e-06,1,500000,0,0,2
4_3_36,7.7e-05,135,1.75325e+06,0.2,3,0
6_5_91,0.49019,456407,931082,0.111111,3,1
