index, time, unrolled, speed, value, x, y
5_1_12,4e-06,1,250000,0.5,4,2
6_1_14,4e-06,1,250000,0.5,1,2
1_1_43,4e-06,1,250000,0.5,0,0
1_1_48,3e-06,1,333333,0.5,0,0
6_1_78,4e-06,1,250000,0.5,0,2
1_1_64,3e-06,1,333333,0.5,0,0
5_1_58,5e-06,1,200000,0.5,3,2
6_1_16,4e-06,1,250000,0.5,3,2
3_1_92,9e-06,1,111111,0.5,1,2
4_1_63,8e-06,1,125000,0.5,2,2
3_1_86,6e-06,1,166667,0.5,2,2
1_1_97,5e-06,1,200000,0.5,0,0
2_1_87,7e-06,1,142857,0.5,0,0
4_1_18,3e-06,1,333333,0.5,2,2
2_1_46,3e-06,1,333333,0.5,0,0
3_1_14,5e-06,1,200000,0.5,1,2
5_1_74,3e-06,1,333333,0.5,1,2
4_1_20,3e-06,1,333333,0.5,1,2
3_1_48,5e-06,1,200000,0.5,2,2
3_1_74,5e-06,1,200000,0.5,2,2
5_1_98,3e-06,1,333333,0.5,2,2
6_1_56,4e-06,1,250000,0.5,5,2
3_1_35,5e-06,1,200000,0.5,0,2
6_1_31,6e-06,1,166667,0.5,1,2
1_1_26,2e-06,1,500000,0.5,0,0
1_1_85,2e-06,1,500000,0.5,0,0
6_1_92,3e-06,1,333333,0.5,4,2
5_1_31,3e-06,1,333333,0.5,4,2
3_1_18,5e-06,1,200000,0.5,1,2
2_1_22,2e-06,1,500000,0.5,1,0
1_1_62,2e-06,1,500000,0.5,0,0
1_1_38,2e-06,1,500000,0.5,0,0
2_1_85,2e-06,1,500000,0.5,1,0
4_1_5,3e-06,1,333333,0.5,1,2
5_1_0,3e-06,1,333333,0.5,0,2
4_1_85,3e-06,1,333333,0.5,1,2
6_1_30,3e-06,1,333333,0.5,1,2
4_1_66,3e-06,1,333333,0.5,2,2
6_1_95,3e-06,1,333333,0.5,3,2
6_1_75,3e-06,1,333333,0.5,3,2
6_1_99,3e-06,1,333333,0.5,0,2
4_1_91,3e-06,1,333333,0.5,1,2
5_1_57,3e-06,1,333333,0.5,2,2
1_1_60,2e-06,1,500000,0.5,0,0
6_1_28,3e-06,1,333333,0.5,4,2
2_1_28,2e-06,1,500000,0.5,1,0
4_1_3,3e-06,1,333333,0.5,2,2
1_1_71,2e-06,1,500000,0.5,0,0
2_1_86,2e-06,1,500000,0.5,0,0
1_1_54,2e-06,1,500000,0.5,0,0
1_1_5,2e-06,1,500000,0.5,0,0
1_1_63,2e-06,1,500000,0.5,0,0
3_1_1,4e-06,1,250000,0.5,2,2
1_1_80,2e-06,1,500000,0.5,0,0
3_1_27,4e-06,1,250000,0.5,1,2
2_1_78,3e-06,1,333333,0.5,0,0
4_1_0,3e-06,1,333333,0.5,3,2
3_1_30,5e-06,1,200000,0.5,1,2
2_1_41,2e-06,1,500000,0.5,1,0
3_1_41,4e-06,1,250000,0.5,2,2
2_1_14,3e-06,1,333333,0.5,1,0
4_1_46,3e-06,1,333333,0.5,0,2
5_1_80,3e-06,1,333333,0.5,2,2
6_1_11,3e-06,1,333333,0.5,2,2
6_1_38,3e-06,1,333333,0.5,2,2
1_1_34,2e-06,1,500000,0.5,0,0
5_1_56,3e-06,1,333333,0.5,3,2
5_1_75,3e-06,1,333333,0.5,2,2
3_1_68,4e-06,1,250000,0.5,0,2
1_1_44,2e-06,1,500000,0.5,0,0
6_1_57,5e-06,1,200000,0.5,4,2
3_1_25,4e-06,1,250000,0.5,0,2
2_1_55,2e-06,1,500000,0.5,0,0
5_1_77,3e-06,1,333333,0.5,3,2
1_1_59,2e-06,1,500000,0.5,0,0
6_1_27,3e-06,1,333333,0.5,0,2
2_1_6,2e-06,1,500000,0.5,1,0
6_1_40,3e-06,1,333333,0.5,4,2
6_1_53,3e-06,1,333333,0.5,4,2
5_1_52,3e-06,1,333333,0.5,2,2
1_1_57,2e-06,1,500000,0.5,0,0
6_1_52,3e-06,1,333333,0.5,5,2
5_1_3,3e-06,1,333333,0.5,2,2
5_1_45,3e-06,1,333333,0.5,2,2
2_1_64,2e-06,1,500000,0.5,0,0
6_1_19,3e-06,1,333333,0.5,4,2
1_1_77,2e-06,1,500000,0.5,0,0
3_1_10,5e-06,1,200000,0.5,1,2
2_1_5,2e-06,1,500000,0.5,1,0
1_1_31,2e-06,1,500000,0.5,0,0
3_1_13,4e-06,1,250000,0.5,1,2
4_1_78,3e-06,1,333333,0.5,0,2
2_1_98,2e-06,1,500000,0.5,0,0
2_1_2,2e-06,1,500000,0.5,0,0
6_1_93,3e-06,1,333333,0.5,5,2
2_1_60,2e-06,1,500000,0.5,0,0
4_1_60,3e-06,1,333333,0.5,1,2
6_1_10,3e-06,1,333333,0.5,3,2
2_1_44,2e-06,1,500000,0.5,1,0
6_1_39,3e-06,1,333333,0.5,3,2
1_1_41,2e-06,1,500000,0.5,0,0
6_1_89,1.1e-05,1,90909.1,0.5,3,2
6_1_20,3e-06,1,333333,0.5,5,2
2_1_42,3e-06,1,333333,0.5,1,0
6_1_4,3e-06,1,333333,0.5,4,2
6_1_5,3e-06,1,333333,0.5,5,2
1_1_50,2e-06,1,500000,0.5,0,0
6_1_61,3e-06,1,333333,0.5,1,2
5_1_76,3e-06,1,333333,0.5,1,2
4_1_70,3e-06,1,333333,0.5,3,2
1_1_10,2e-06,1,500000,0.5,0,0
6_1_37,3e-06,1,333333,0.5,4,2
6_1_85,3e-06,1,333333,0.5,1,2
4_1_59,3e-06,1,333333,0.5,2,2
3_1_32,4e-06,1,250000,0.5,0,2
5_1_84,3e-06,1,333333,0.5,3,2
5_1_5,3e-06,1,333333,0.5,0,2
1_1_16,2e-06,1,500000,0.5,0,0
3_1_8,4e-06,1,250000,0.5,1,2
1_1_95,2e-06,1,500000,0.5,0,0
6_1_25,3e-06,1,333333,0.5,4,0
4_1_82,3e-06,1,333333,0.5,3,0
6_1_33,3e-06,1,333333,0.5,5,0
4_1_16,3e-06,1,333333,0.5,1,0
