index, time, unrolled, speed, value, x, y
5_3_81,0.000179,207,1.15642e+06,0.2,0,4
6_3_92,0.00028,297,1.06071e+06,0.2,5,1
4_5_19,0.020128,28974,1.43949e+06,0.111111,1,3
6_3_9,0.000292,287,982877,0.2,4,4
4_4_81,0.00069,1053,1.52609e+06,0.142857,3,2
3_2_78,9e-06,7,777778,0.333333,1,0
4_4_7,0.001641,2430,1.4808e+06,0.142857,2,3
5_3_55,0.000197,213,1.08122e+06,0.2,3,3
6_2_46,1.5e-05,13,866667,0.333333,2,5
5_2_52,1.2e-05,11,916667,0.333333,3,3
5_2_96,1.2e-05,11,916667,0.333333,4,3
2_3_82,1.1e-05,17,1.54545e+06,0.2,0,0
5_4_36,0.010048,12146,1.2088e+06,0.142857,0,3
5_4_32,0.015222,18360,1.20615e+06,0.142857,0,3
3_5_84,0.001729,3257,1.88375e+06,0.111111,1,2
4_4_97,0.000845,1324,1.56686e+06,0.142857,2,2
5_2_0,1.1e-05,10,909091,0.333333,2,4
3_2_47,9e-06,7,777778,0.333333,0,0
3_2_89,9e-06,7,777778,0.333333,0,0
4_5_9,0.024434,36775,1.50507e+06,0.111111,1,3
2_3_75,1e-05,17,1.7e+06,0.2,0,0
5_2_3,7e-06,8,1.14286e+06,0.333333,0,0
5_2_13,8e-06,9,1.125e+06,0.333333,3,4
6_2_27,1.1e-05,11,1e+06,0.333333,3,4
5_4_28,0.007537,10534,1.39764e+06,0.142857,2,3
3_4_96,9.3e-05,218,2.34409e+06,0.142857,0,0
5_2_49,1e-05,11,1.1e+06,0.333333,3,3
3_4_51,0.000213,456,2.14085e+06,0.142857,1,2
5_3_88,9e-05,131,1.45556e+06,0.2,4,4
2_3_14,9e-06,17,1.88889e+06,0.2,0,0
3_3_11,3.1e-05,59,1.90323e+06,0.2,0,0
3_2_7,7e-06,6,857143,0.333333,0,0
4_2_99,7e-06,8,1.14286e+06,0.333333,1,0
3_3_87,3.2e-05,60,1.875e+06,0.2,0,0
3_2_21,7e-06,7,1e+06,0.333333,1,0
4_5_82,0.016133,28944,1.79409e+06,0.111111,1,3
3_5_47,0.001508,3280,2.17507e+06,0.111111,1,2
6_3_40,0.000239,295,1.23431e+06,0.2,4,3
3_2_94,7e-06,6,857143,0.333333,1,0
5_4_35,0.019958,30542,1.53031e+06,0.142857,1,1
6_3_65,0.000193,289,1.49741e+06,0.2,4,4
4_3_90,5.8e-05,119,2.05172e+06,0.2,0,3
4_5_50,0.017286,36770,2.12715e+06,0.111111,1,3
2_3_36,7e-06,17,2.42857e+06,0.2,0,0
6_2_74,9e-06,12,1.33333e+06,0.333333,3,5
3_5_46,0.001229,3292,2.6786e+06,0.111111,1,2
4_4_46,0.000508,1137,2.23819e+06,0.142857,0,3
2_2_59,3e-06,5,1.66667e+06,0.333333,0,0
3_4_21,0.000179,459,2.56425e+06,0.142857,1,2
5_4_12,0.01574,26435,1.67948e+06,0.142857,1,3
6_2_98,1e-05,12,1.2e+06,0.333333,4,5
4_2_19,7e-06,9,1.28571e+06,0.333333,3,3
3_5_7,0.001273,3257,2.55852e+06,0.111111,1,2
6_2_71,1e-05,12,1.2e+06,0.333333,2,5
3_2_93,6e-06,6,1e+06,0.333333,1,0
4_3_92,7.6e-05,135,1.77632e+06,0.2,3,3
5_4_93,0.017215,27739,1.61133e+06,0.142857,3,3
2_2_6,3e-06,5,1.66667e+06,0.333333,0,0
2_3_66,8e-06,17,2.125e+06,0.2,0,0
4_4_0,0.000815,1554,1.90675e+06,0.142857,1,3
2_3_64,2e-05,17,850000,0.2,0,0
2_3_63,8e-06,18,2.25e+06,0.2,0,0
3_2_31,5e-06,6,1.2e+06,0.333333,2,0
3_2_11,5e-06,4,800000,0.333333,0,0
4_2_51,5e-06,7,1.4e+06,0.333333,0,0
4_2_47,6e-06,8,1.33333e+06,0.333333,2,0
5_4_15,0.009572,13170,1.37589e+06,0.142857,0,3
3_2_74,8e-06,6,750000,0.333333,0,0
5_4_33,0.023337,31771,1.3614e+06,0.142857,2,1
3_2_5,7e-06,6,857143,0.333333,1,0
4_2_20,7e-06,8,1.14286e+06,0.333333,0,0
6_3_31,0.000239,293,1.22594e+06,0.2,4,4
4_2_69,7e-06,8,1.14286e+06,0.333333,2,0
2_2_60,4e-06,5,1.25e+06,0.333333,0,0
5_3_41,0.000161,213,1.32298e+06,0.2,3,3
2_2_0,4e-06,5,1.25e+06,0.333333,0,0
5_4_64,0.007132,10104,1.41671e+06,0.142857,3,3
4_3_81,7.7e-05,124,1.61039e+06,0.2,3,2
4_5_80,0.021084,36813,1.74602e+06,0.111111,1,3
3_4_77,0.000207,448,2.16425e+06,0.142857,0,0
4_3_61,7.2e-05,128,1.77778e+06,0.2,1,0
2_2_76,3e-06,3,1e+06,0.333333,0,0
2_2_4,3e-06,3,1e+06,0.333333,0,0
4_2_36,8e-06,9,1.125e+06,0.333333,0,0
4_4_54,0.00124,2174,1.75323e+06,0.142857,0,0
4_3_36,7.3e-05,128,1.75342e+06,0.2,1,0
4_5_53,0.02958,51649,1.74608e+06,0.111111,0,0
4_4_37,0.000588,1322,2.2483e+06,0.142857,0,0
3_4_80,0.000175,450,2.57143e+06,0.142857,0,0
2_3_83,8e-06,18,2.25e+06,0.2,0,0
2_2_12,3e-06,5,1.66667e+06,0.333333,0,0
3_5_99,0.001253,3271,2.61053e+06,0.111111,0,0
3_2_8,6e-06,7,1.16667e+06,0.333333,1,0
3_4_28,0.000177,448,2.53107e+06,0.142857,0,0
3_5_90,0.001246,3271,2.6252e+06,0.111111,0,0
3_3_37,2.7e-05,60,2.22222e+06,0.2,0,0
4_4_26,0.000778,1552,1.99486e+06,0.142857,1,0
5_4_51,0.01406,24183,1.71999e+06,0.142857,1,0
3_5_27,0.001215,3271,2.69218e+06,0.111111,0,0
4_5_14,0.024152,47819,1.97992e+06,0.111111,1,0
3_3_12,3.6e-05,75,2.08333e+06,0.2,0,0
4_2_74,6e-06,8,1.33333e+06,0.333333,1,0
5_2_82,8e-06,11,1.375e+06,0.333333,0,0
2_2_99,3e-06,3,1e+06,0.333333,1,0
2_3_18,8e-06,18,2.25e+06,0.2,0,0
4_2_7,6e-06,9,1.5e+06,0.333333,0,0
3_4_46,0.000177,447,2.52542e+06,0.142857,0,0
2_2_20,2e-06,3,1.5e+06,0.333333,0,0
6_3_24,0.000207,279,1.34783e+06,0.2,0,0
2_3_77,9e-06,17,1.88889e+06,0.2,0,0
5_2_53,1e-05,11,1.1e+06,0.333333,2,0
2_3_25,9e-06,17,1.88889e+06,0.2,0,0
5_2_65,8e-06,10,1.25e+06,0.333333,0,0
5_2_30,9e-06,10,1.11111e+06,0.333333,0,0
5_2_22,9e-06,11,1.22222e+06,0.333333,0,0
4_3_56,6.6e-05,121,1.83333e+06,0.2,0,0
5_3_36,0.000149,214,1.43624e+06,0.2,0,0
6_3_42,0.000219,287,1.3105e+06,0.2,0,0
5_3_68,0.000134,198,1.47761e+06,0.2,2,0
6_2_56,1.1e-05,13,1.18182e+06,0.333333,1,0
3_5_31,0.001377,3263,2.36964e+06,0.111111,0,0
6_3_74,0.000226,297,1.31416e+06,0.2,2,5
3_5_53,0.001402,3292,2.34807e+06,0.111111,0,0
5_2_41,8e-06,10,1.25e+06,0.333333,1,0
3_2_61,6e-06,6,1e+06,0.333333,1,0
3_5_16,0.001383,3274,2.36732e+06,0.111111,0,0
3_2_62,5e-06,4,800000,0.333333,2,0
6_2_7,1.1e-05,12,1.09091e+06,0.333333,1,0
3_2_60,7e-06,7,1e+06,0.333333,1,0
4_3_88,7e-05,123,1.75714e+06,0.2,0,0
